TABELA 28,,,,,,,,,,,,(Voltar ao índice)
Homicídios de mulheres e feminicídios (1),,,,,,,,,,,,
Brasil e Unidades da Federação –  2017-2018,,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Homicídios,,,,,Feminicídios,,,,,Proporção de Feminicídios em relação aos homicídios de mulheres,
,Vítimas Sexo Feminino,,,,"Variação
(%)",,,,,,,
,Ns. Absolutos,,Taxa (3),,,Ns. Absolutos,,Taxa (3),,Variação (%),Em percentual (%),
,2017,2018,2017,2018,,2017,2018,2017,2018,,2017,2018
,,,,,,,,,,,,
Brasil,  4.556 ,  4.107 ,"4,3","3,9","-10,5",  1.075 ,  1.206 ,"1,0","1,1","11,3","23,6","29,4"
,,,,,,,,,,,,
Acre,37,36,"9,0","  8,6 ","-4,2",13,14,"3,2","3,4","6,0","35,1","38,9"
Alagoas (2),74,63,"4,3","  3,6 ","-15,4",34,21,"2,0","1,2","-38,6","45,9","33,3"
Amapá (7),28,17,"7,1","  4,2 ","-40,4",2,5,"0,5","1,2","145,2","7,1","29,4"
Amazonas,74,89,"3,7","  4,4 ","18,5",16,4,"0,8","0,2","-75,4","21,6","4,5"
Bahia (2),474,422,"6,1","  5,4 ","-11,4",74,75,"1,0","1,0","0,8","15,6","17,8"
"Ceará (2, 4)",353,448,"7,7","  9,7 ","26,1",22,27,"0,5","0,6","21,9","6,2","6,0"
Distrito Federal,41,45,"2,6","  2,8 ","7,5",18,28,"1,1","1,7","52,3","43,9","62,2"
Espírito Santo,133,93,"6,6","  4,6 ","-30,8",42,31,"2,1","1,5","-27,0","31,6","33,3"
Goiás,197,173,"5,8","  5,0 ","-13,2",23,35,"0,7","1,0","50,4","11,7","20,2"
Maranhão,113,99,"3,2","  2,8 ","-13,0",51,44,"1,4","1,2","-14,3","45,1","44,4"
Mato Grosso,76,85,"4,6","  5,1 ","10,5",-,42,-,"2,5",...,...,"49,4"
Mato Grosso do Sul,59,63,"4,4","  4,6 ","5,6",29,36,"2,1","2,6","22,7","49,2","57,1"
Minas Gerais (5),376,326,"3,5","  3,1 ","-13,8",150,156,"1,4","1,5","3,4","39,9","47,9"
Pará,285,309,"6,9","  7,4 ","7,2",49,63,"1,2","1,5","27,1","17,2","20,4"
Paraíba,76,84,"3,7","4,0","9,8",22,34,"1,1","1,6","53,5","28,9","40,5"
Paraná,184,146,"3,2","  2,5 ","-21,2",41,61,"0,7","1,1","47,7","22,3","41,8"
Pernambuco,298,228,"6,1","  4,6 ","-24,0",76,74,"1,6","1,5","-3,3","25,5","32,5"
Piauí,59,49,"3,6","  3,0 ","-17,2",26,27,"1,6","1,6","3,5","44,1","55,1"
Rio de Janeiro,382,348,"4,4","  4,0 ","-9,3",68,71,"0,8","0,8","3,9","17,8","20,4"
Rio Grande do Norte (2),149,101,"8,4","  5,6 ","-32,8",23,28,"1,3","1,6","20,6","15,4","27,7"
Rio Grande do Sul,305,205,"5,3","  3,5 ","-33,0",83,117,"1,4","2,0","40,5","27,2","57,1"
Rondônia,54,33,"6,1","  3,7 ","-39,5",-,9,"0,0","1,0","100,0",-,"27,3"
Roraima,10,27,"3,9","  10,4 ","165,7",3,4,"1,2","1,5","31,2","30,0","14,8"
Santa Catarina,111,95,"3,2","  2,7 ","-15,5",52,42,"1,5","1,2","-20,2","46,8","44,2"
São Paulo,511,461,"2,2","  2,0 ","-10,4",120,136,"0,5","0,6","12,5","23,5","29,5"
Sergipe (6),64,37,"5,5","  3,1 ","-42,8",6,16,"0,5","1,4","163,9","9,4","43,2"
Tocantins (7),33,25,"4,3","  3,2 ","-25,1",32,6,"4,2","0,8","-81,5","97,0","24,0"
,,,,,,,,,,,,
Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Instituto Brasileiro de Geografia e Estatística (IBGE); Fórum Brasileiro de Segurança Pública.,,,,,,,,,,,,
(-) Fenômeno inexistente.,,,,,,,,,,,,
"(1) Feminicídio é o homicídio praticado contra vítima mulher por motivações baseadas em violência doméstica e/ou intrafamiliar, ou em caso de menosprezo ou discriminação pela condição de mulher. Lei.13/104 de 2015.",,,,,,,,,,,,
"(2) Dado de homicídio feminino extraído do Monitor da Violência, elaborado pelo G1 em parceria com o Núcleo de Estudos da Violência da USP (NEV-USP) e o Fórum Brasileiro de Segurança Pública. ",,,,,,,,,,,,
(3) Taxa por 100 mil mulheres. População: IBGE. Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030.,,,,,,,,,,,,
"(4) Dado de feminicídio extraído do Monitor da Violência, elaborado pelo G1 em parceria com o Núcleo de Estudos da Violência da USP (NEV-USP) e o Fórum Brasileiro de Segurança Pública. ",,,,,,,,,,,,
(5) Minas Gerais não separa os dados de homicídio doloso e culposo. ,,,,,,,,,,,,
(6) Os dados de feminicídio de Sergipe são apenas da região metropolitana,,,,,,,,,,,,
"(7) A fonte para o dado de feminicídios de 2017 é o Monitor da Violência, elaborado pelo G1 em parceria com o Núcleo de Estudos da Violência da USP (NEV-USP) e o Fórum Brasileiro de Segurança Pública. ",,,,,,,,,,,,
"Observação: Esta versão foi modificada em 21/10/2019 a partir da retificação oficial por parte de duas UFs: a) Mato Grosso, que atualizou  o número de homicídios de mulheres e feminicídios em 2017 e b) O número de homicídios de mulheres na Paraíba em 2017 e 2018 foi atualizado conforme a base de dados de mortes violentas intencionais encaminhada pelo estado. Essas modificações têm impacto no total de ocorrências do Brasil.",,,,,,,,,,,,
